,Country Name,Country Code,iso_a3,Year,Curr Acc Balance
337,Brazil,BRA,BRA,2016,14256.16339
338,United Kingdom,GBR,GBR,2016,44635.29956
339,Canada,CAN,CAN,2016,46472.34025
340,Chile,CHL,CHL,2016,23437.59253
341,China,CHN,CHN,2016,13483.37727
342,Czech Republic,CZE,CZE,2016,36097.70526
343,Denmark,DNK,DNK,2016,51976.00571
344,Euro area,EUZ,EUZ,2016,43533.23627
345,Hungary,HUN,HUN,2016,27947.63769
346,Indonesia,IDN,IDN,2016,10494.4738
347,Japan,JPN,JPN,2016,40623.01866
348,Mexico,MEX,MEX,2016,19323.66587
349,New Zealand,NZL,NZL,2016,39955.80303
350,Poland,POL,POL,2016,28322.10698
351,Russian Federation,RUS,RUS,2016,24128.08641
352,South Africa,ZAF,ZAF,2016,13748.46142
353,"Korea, Rep.",KOR,KOR,2016,39575.45428
354,Sweden,SWE,SWE,2016,50430.25282
355,Switzerland,CHE,CHE,2016,68105.15498
356,United States,USA,USA,2016,58021.4005
