,year,iso_a3,country_name,Year,local_price,dollar_ex,dollar_price,big_mac_index,relative_PPP
101,2005,BRA,Brazil,2005,5.9,2.4648,2.393703343070432,-21.77440055325386,3.31095057311574
102,2005,CAN,Canada,2005,3.28,1.2494,2.6252601248599325,-14.207185462093708,0.6339464321650535
103,2005,CHE,Switzerland,2005,6.3,1.2475,5.050100200400801,65.03595426146408,1.1758229535269975
104,2005,CHL,Chile,2005,1500.0,592.45,2.531859228626888,-17.259502332454645,93.59175879821082
105,2005,CHN,China,2005,10.5,8.2764,1.2686675366101203,-58.54027658136862,8.3541470256922
106,2005,CZE,Czech Republic,2005,56.42,24.5409,2.2990191883753246,-24.868653974662593,34.59978315536675
107,2005,DNK,Denmark,2005,27.75,6.0647,4.57565914224941,49.53134451795458,18.14038423307287
108,2005,GBR,Britain,2005,1.88,0.546448087,3.4404000027179156,12.431372637840376,-1.5316058134255162
109,2005,HUN,Hungary,2005,530.0,203.643,2.6025937547570996,-14.947916511205895,83.71387400718142
110,2005,IDN,Indonesia,2005,14600.0,9545.0,1.529596647459403,-50.01318145557507,99.309322471786
111,2005,JPN,Japan,2005,250.0,106.715,2.342688469287354,-23.44155329126294,70.7592318659179
112,2005,KOR,South Korea,2005,2500.0,1005.5,2.486325211337643,-18.74754211314893,96.0582182611024
113,2005,MEX,Mexico,2005,28.0,10.8675,2.576489533011272,-15.800995653226401,19.86211755233494
114,2005,NZL,New Zealand,2005,4.45,1.4023,3.1733580546245452,3.704511589037418,1.2222517428199664
115,2005,POL,Poland,2005,6.5,3.3096,1.9639835629683344,-35.81753062194986,4.259170363410016
116,2005,RUS,Russia,2005,42.0,28.4055,1.4785868933833237,-51.680166882897915,28.53620641311034
117,2005,SWE,Sweden,2005,31.0,7.4402,4.166554662509072,36.16191707545988,20.483546059153383
118,2005,USA,United States,2005,3.06,1.0,3.06,0.0,0.0
119,2005,ZAF,South Africa,2005,13.95,6.6482,2.0983123251406393,-31.427701792789563,10.400779003825678
120,2006,AUS,Australia,2006,3.25,1.331665,2.4405537428707667,-21.902280228135464,0.7839673192534948
121,2006,BRA,Brazil,2006,6.300000000000001,2.283,2.7595269382391594,-11.695137976346903,3.3306425792670193
122,2006,CAN,Canada,2006,3.52,1.145425,3.0730951393587533,-1.6609555405198928,0.43170871391155985
